# One UI drawable parity map
# reference drawable | representation | Compose mapping | status
ic_oui_edit_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_edit_outline]|mapped
ic_oui_education|resource|OneUiDrawableCatalog.entries[name=ic_oui_education]|mapped
ic_oui_email|resource|OneUiDrawableCatalog.entries[name=ic_oui_email]|mapped
ic_oui_email_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_email_outline]|mapped
ic_oui_email_read|resource|OneUiDrawableCatalog.entries[name=ic_oui_email_read]|mapped
ic_oui_email_sent|resource|OneUiDrawableCatalog.entries[name=ic_oui_email_sent]|mapped
ic_oui_emergency|resource|OneUiDrawableCatalog.entries[name=ic_oui_emergency]|mapped
ic_oui_emoji|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji]|mapped
ic_oui_emoji_2|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji_2]|mapped
ic_oui_emoji_2_filled|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji_2_filled]|mapped
ic_oui_emoji_category_action|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji_category_action]|mapped
ic_oui_emoji_category_angry|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji_category_angry]|mapped
ic_oui_emoji_category_animal|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji_category_animal]|mapped
ic_oui_emoji_category_greeting|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji_category_greeting]|mapped
ic_oui_emoji_category_happy|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji_category_happy]|mapped
ic_oui_emoji_category_love|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji_category_love]|mapped
ic_oui_emoji_category_sad|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji_category_sad]|mapped
ic_oui_emoji_category_surprise|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji_category_surprise]|mapped
ic_oui_emoji_category_trouble|resource|OneUiDrawableCatalog.entries[name=ic_oui_emoji_category_trouble]|mapped
ic_oui_enable|resource|OneUiDrawableCatalog.entries[name=ic_oui_enable]|mapped
ic_oui_enable_outline|resource|OneUiDrawableCatalog.entries[name=ic_oui_enable_outline]|mapped
ic_oui_enhanced_processing|resource|OneUiDrawableCatalog.entries[name=ic_oui_enhanced_processing]|mapped
ic_oui_equalizer|resource|OneUiDrawableCatalog.entries[name=ic_oui_equalizer]|mapped
ic_oui_equalizer_2|resource|OneUiDrawableCatalog.entries[name=ic_oui_equalizer_2]|mapped
ic_oui_error|resource|OneUiDrawableCatalog.entries[name=ic_oui_error]|mapped
